Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
126,Entry long,2025-08-12 15:00,L,1.16734,8837.56,10316.43729,34.47,0.33,50.29,0.49,-7.78,-0.08,350.91,3.51
127,Exit long,2025-08-18 09:00,time,1.16791,8855.25,10350.90172,-8.77,-0.08,24.09,0.23,-15.94,-0.15,342.14,3.42
127,Entry long,2025-08-15 09:00,L,1.1689,8855.25,10350.90172,-8.77,-0.08,24.09,0.23,-15.94,-0.15,342.14,3.42
128,Exit long,2025-08-25 14:00,time,1.16888,8824.72,10342.1306,-27.09,-0.26,20.56,0.20,-30.18,-0.29,315.05,3.15
128,Entry long,2025-08-22 14:00,L,1.17195,8824.72,10342.1306,-27.09,-0.26,20.56,0.20,-30.18,-0.29,315.05,3.15
129,Exit long,2025-08-29 10:00,time,1.16664,8836.74,10315.03823,-5.74,-0.06,21.74,0.21,-14.85,-0.14,309.31,3.09
129,Entry long,2025-08-28 10:00,L,1.16729,8836.74,10315.03823,-5.74,-0.06,21.74,0.21,-14.85,-0.14,309.31,3.09
130,Exit long,2025-09-02 02:00,time,1.16972,8801.44,10309.3027,-14.08,-0.14,20.51,0.20,-18.48,-0.18,295.22,2.95
130,Entry long,2025-09-01 02:00,L,1.17132,8801.44,10309.3027,-14.08,-0.14,20.51,0.20,-18.48,-0.18,295.22,2.95
131,Exit long,2025-09-08 08:00,time,1.17301,8810.85,10295.2139,40,0.39,65.99,0.64,-5.99,-0.06,335.22,3.35
131,Entry long,2025-09-05 08:00,L,1.16847,8810.85,10295.2139,40,0.39,65.99,0.64,-5.99,-0.06,335.22,3.35
132,Exit long,2025-09-09 17:00,X,1.17112,8786.58,10335.21472,-45.08,-0.44,15.46,0.15,-45.08,-0.44,290.15,2.90
132,Entry long,2025-09-08 18:00,L,1.17625,8786.58,10335.21472,-45.08,-0.44,15.46,0.15,-45.08,-0.44,290.15,2.90
133,Exit long,2025-09-16 09:00,time,1.18128,8759.36,10290.14575,57.11,0.56,61.84,0.60,-1.14,-0.01,347.26,3.47
133,Entry long,2025-09-15 09:00,L,1.17476,8759.36,10290.14575,57.11,0.56,61.84,0.60,-1.14,-0.01,347.26,3.47
134,Exit long,2025-09-17 13:00,time,1.18487,8750.17,10347.25103,20.56,0.20,46.55,0.45,-3.5,-0.03,367.82,3.68
134,Entry long,2025-09-16 13:00,L,1.18252,8750.17,10347.25103,20.56,0.20,46.55,0.45,-3.5,-0.03,367.82,3.68
135,Exit long,2025-09-23 16:00,time,1.18037,8794.11,10367.81598,12.49,0.12,26.82,0.26,-9.23,-0.09,380.31,3.80
135,Entry long,2025-09-22 16:00,L,1.17895,8794.11,10367.81598,12.49,0.12,26.82,0.26,-9.23,-0.09,380.31,3.80
136,Exit long,2025-09-30 00:00,time,1.17195,8854.72,10380.29971,-3.01,-0.03,28.07,0.27,-13.19,-0.13,377.3,3.77
136,Entry long,2025-09-29 00:00,L,1.17229,8854.72,10380.29971,-3.01,-0.03,28.07,0.27,-13.19,-0.13,377.3,3.77
137,Exit long,2025-10-13 12:00,X,1.15627,8935.16,10377.29482,-45.84,-0.44,14.21,0.14,-45.84,-0.44,331.46,3.31
137,Entry long,2025-10-10 15:00,L,1.1614,8935.16,10377.29482,-45.84,-0.44,14.21,0.14,-45.84,-0.44,331.46,3.31
138,Exit long,2025-10-16 02:00,time,1.16649,8887.81,10331.45698,36.08,0.35,45.42,0.44,-12.35,-0.12,367.55,3.68
138,Entry long,2025-10-15 02:00,L,1.16243,8887.81,10331.45698,36.08,0.35,45.42,0.44,-12.35,-0.12,367.55,3.68
139,Exit long,2025-10-17 14:00,time,1.16656,8877.54,10367.54631,-11.36,-0.11,44.48,0.43,-19.26,-0.19,356.18,3.56
139,Entry long,2025-10-16 14:00,L,1.16784,8877.54,10367.54631,-11.36,-0.11,44.48,0.43,-19.26,-0.19,356.18,3.56
140,Exit long,2025-12-17 04:00,X,1.17278,8791.99,10356.17294,-45.1,-0.44,22.07,0.21,-45.1,-0.44,311.08,3.11
140,Entry long,2025-12-16 12:00,L,1.17791,8791.99,10356.17294,-45.1,-0.44,22.07,0.21,-45.1,-0.44,311.08,3.11
141,Exit long,2025-12-23 13:00,time,1.17735,8773.96,10311.07005,18.95,0.18,44.13,0.43,-5.97,-0.06,330.03,3.30
141,Entry long,2025-12-22 13:00,L,1.17519,8773.96,10311.07005,18.95,0.18,44.13,0.43,-5.97,-0.06,330.03,3.30
142,Exit long,2026-01-06 15:00,X,1.16874,8799.98,10330.03252,-45.14,-0.44,3.7,0.04,-45.14,-0.44,284.89,2.85
142,Entry long,2026-01-06 02:00,L,1.17387,8799.98,10330.03252,-45.14,-0.44,3.7,0.04,-45.14,-0.44,284.89,2.85
143,Exit long,2026-01-13 07:00,time,1.16629,8800.8,10284.8789,-20.59,-0.20,10.74,0.10,-28.6,-0.28,264.3,2.64
143,Entry long,2026-01-12 07:00,L,1.16863,8800.8,10284.8789,-20.59,-0.20,10.74,0.10,-28.6,-0.28,264.3,2.64
144,Exit long,2026-01-20 13:00,X,1.17579,8804.58,10264.29132,88.05,0.86,88.05,0.86,-1.58,-0.02,352.34,3.52
144,Entry long,2026-01-20 03:00,L,1.16579,8804.58,10264.29132,88.05,0.86,88.05,0.86,-1.58,-0.02,352.34,3.52
145,Exit long,2026-01-23 15:00,time,1.17569,8821.53,10352.3301,19.05,0.18,23.2,0.22,-6.88,-0.07,371.4,3.71
145,Entry long,2026-01-22 15:00,L,1.17353,8821.53,10352.3301,19.05,0.18,23.2,0.22,-6.88,-0.07,371.4,3.71
146,Exit long,2026-01-25 23:00,X,1.18957,8792.52,10371.39282,87.93,0.85,87.93,0.85,-16.27,-0.16,459.32,4.59
146,Entry long,2026-01-23 17:00,L,1.17957,8792.52,10371.39282,87.93,0.85,87.93,0.85,-16.27,-0.16,459.32,4.59
147,Exit long,2026-01-27 20:00,X,1.20452,8756.08,10459.31268,87.56,0.84,87.56,0.84,-1.23,-0.01,546.88,5.47
147,Entry long,2026-01-27 14:00,L,1.19452,8756.08,10459.31268,87.56,0.84,87.56,0.84,-1.23,-0.01,546.88,5.47
148,Exit long,2026-01-28 05:00,X,1.19795,8766.56,10546.873,-44.97,-0.43,16.83,0.16,-44.97,-0.43,501.91,5.02
148,Entry long,2026-01-27 20:00,L,1.20308,8766.56,10546.873,-44.97,-0.43,16.83,0.16,-44.97,-0.43,501.91,5.02
149,Exit long,2026-02-09 14:00,time,1.19171,8883.06,10501.90885,84.12,0.80,85.37,0.81,-15.28,-0.15,586.03,5.86
149,Entry long,2026-02-06 14:00,L,1.18224,8883.06,10501.90885,84.12,0.80,85.37,0.81,-15.28,-0.15,586.03,5.86
150,Exit long,2026-02-23 11:00,X,1.17834,8944.9,10586.0208,-45.89,-0.43,0,0.00,-45.89,-0.43,540.14,5.40
150,Entry long,2026-02-22 23:00,L,1.18347,8944.9,10586.0208,-45.89,-0.43,0,0.00,-45.89,-0.43,540.14,5.40
151,Exit long,2026-03-05 08:00,X,1.15844,9058.45,10540.14067,-46.47,-0.44,17.39,0.17,-46.47,-0.44,493.67,4.94
151,Entry long,2026-03-04 10:00,L,1.16357,9058.45,10540.14067,-46.47,-0.44,17.39,0.17,-46.47,-0.44,493.67,4.94
152,Exit long,2026-04-21 15:00,X,1.17405,8899.12,10493.66432,-45.65,-0.44,0,0.00,-45.65,-0.44,448.02,4.48
152,Entry long,2026-04-20 22:00,L,1.17918,8899.12,10493.66432,-45.65,-0.44,0,0.00,-45.65,-0.44,448.02,4.48
153,Exit long,2026-04-28 01:00,time,1.17115,8910.36,10448.02083,-12.65,-0.12,26.11,0.25,-12.65,-0.12,435.37,4.35
153,Entry long,2026-04-27 01:00,L,1.17257,8910.36,10448.02083,-12.65,-0.12,26.11,0.25,-12.65,-0.12,435.37,4.35
154,Exit long,2026-05-01 14:00,time,1.17661,8896.99,10435.36854,32.92,0.32,49.91,0.48,-9.16,-0.09,468.29,4.68
154,Entry long,2026-04-30 14:00,L,1.17291,8896.99,10435.36854,32.92,0.32,49.91,0.48,-9.16,-0.09,468.29,4.68
155,Exit long,2026-05-06 23:00,time,1.17467,8934.96,10468.28849,27.34,0.26,72.02,0.69,-4.38,-0.04,495.63,4.96
155,Entry long,2026-05-05 23:00,L,1.17161,8934.96,10468.28849,27.34,0.26,72.02,0.69,-4.38,-0.04,495.63,4.96
