combo_key,variant,params_json,status,n_primary_folds,median_oos_pf,worst_fold_oos_pf,median_oos_sharpe,max_oos_dd_pct,max_is_to_oos_sharpe_degradation_pct,total_oos_trades,min_fold_oos_trades,folds_with_oos_pf_gt_1,max_per_pair_net_profit_share,net_profit_share_json,control_catastrophic,control_folds_below_bar_json,raw_p,bonferroni_p,n_tested,survives_raw,survives_bonferroni,verdict,gate_reason,downgrade_reasons,posterior_pf_p05,posterior_pf_p50,posterior_pf_p95,posterior_pf_prob_gt_1
"V2|atr_stop_mult=2.0,donchian_in=20,donchian_out=20",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 20, ""donchian_out"": 20}",OK,5,2.636642,1.770841,3.537149,2.536359,4533010.768041,62,10,5,0.695596,"{""EURUSD"": 0.17714029786663565, ""GBPUSD"": 0.12726364871704177, ""XAUUSD"": 0.6955960534163227}",false,"{""USDJPY"": 1}",0.811920,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=4533010.8% > 30%; portfolio.max_per_pair_net_profit_share=69.6% (worst: XAUUSD) > 40%,,0.330081,4.032564,49.265348,0.839720
"V2|atr_stop_mult=2.0,donchian_in=20,donchian_out=5",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 20, ""donchian_out"": 5}",OK,5,2.636642,1.770841,3.537149,2.536359,4533010.768041,62,10,5,0.695596,"{""EURUSD"": 0.17714029786663565, ""GBPUSD"": 0.12726364871704177, ""XAUUSD"": 0.6955960534163227}",false,"{""USDJPY"": 1}",0.811920,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=4533010.8% > 30%; portfolio.max_per_pair_net_profit_share=69.6% (worst: XAUUSD) > 40%,,0.330081,4.032564,49.265348,0.839720
"V2|atr_stop_mult=2.0,donchian_in=40,donchian_out=10",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 40, ""donchian_out"": 10}",OK,5,11.762445,2.252641,0.947642,2.032383,100.000000,40,5,5,0.741518,"{""EURUSD"": 0.16096050743141843, ""GBPUSD"": 0.0975217783431494, ""XAUUSD"": 0.7415177142254322}",false,"{""USDJPY"": 1}",0.867403,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=100.0% > 30%; portfolio.max_per_pair_net_profit_share=74.2% (worst: XAUUSD) > 40%,,0.450019,5.472295,66.543882,0.882850
"V2|atr_stop_mult=2.0,donchian_in=40,donchian_out=20",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 40, ""donchian_out"": 20}",OK,5,11.762445,2.252641,0.947642,2.032383,100.000000,40,5,5,0.741518,"{""EURUSD"": 0.16096050743141843, ""GBPUSD"": 0.0975217783431494, ""XAUUSD"": 0.7415177142254322}",false,"{""USDJPY"": 1}",0.867403,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=100.0% > 30%; portfolio.max_per_pair_net_profit_share=74.2% (worst: XAUUSD) > 40%,,0.450019,5.472295,66.543882,0.882850
"V2|atr_stop_mult=2.0,donchian_in=40,donchian_out=5",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 40, ""donchian_out"": 5}",OK,5,11.762445,2.252641,0.947642,2.032383,100.000000,40,5,5,0.741518,"{""EURUSD"": 0.16096050743141843, ""GBPUSD"": 0.0975217783431494, ""XAUUSD"": 0.7415177142254322}",false,"{""USDJPY"": 1}",0.867403,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=100.0% > 30%; portfolio.max_per_pair_net_profit_share=74.2% (worst: XAUUSD) > 40%,,0.450019,5.472295,66.543882,0.882850
"V2|atr_stop_mult=2.5,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 2.5, ""donchian_in"": 10, ""donchian_out"": 10}",OK,5,1.687689,0.931935,-0.946465,3.168413,351.837529,94,13,4,0.608288,"{""EURUSD"": 0.28833501634729747, ""GBPUSD"": 0.10337704974761337, ""XAUUSD"": 0.6082879339050893}",false,"{""USDJPY"": 1}",0.518906,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=-0.946 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=351.8% > 30%; portfolio.max_per_pair_net_profit_share=60.8% (worst: XAUUSD) > 40%,,0.238359,2.279158,21.793048,0.747541
"V2|atr_stop_mult=2.5,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 2.5, ""donchian_in"": 10, ""donchian_out"": 5}",OK,5,1.687689,0.931935,-0.946465,3.168413,351.837529,94,13,4,0.608288,"{""EURUSD"": 0.28833501634729747, ""GBPUSD"": 0.10337704974761337, ""XAUUSD"": 0.6082879339050893}",false,"{""USDJPY"": 1}",0.518906,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=-0.946 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=351.8% > 30%; portfolio.max_per_pair_net_profit_share=60.8% (worst: XAUUSD) > 40%,,0.238359,2.279158,21.793048,0.747541
"V2|atr_stop_mult=2.5,donchian_in=20,donchian_out=10",V2,"{""atr_stop_mult"": 2.5, ""donchian_in"": 20, ""donchian_out"": 10}",OK,5,2.245952,1.704261,3.040154,2.524041,704677.509163,60,10,5,0.649898,"{""EURUSD"": 0.2002177859388922, ""GBPUSD"": 0.14988468351322856, ""XAUUSD"": 0.6498975305478792}",false,"{""USDJPY"": 1}",0.810892,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=704677.5% > 30%; portfolio.max_per_pair_net_profit_share=65.0% (worst: XAUUSD) > 40%,,0.342356,3.300906,31.826483,0.827337
"V2|atr_stop_mult=2.5,donchian_in=20,donchian_out=20",V2,"{""atr_stop_mult"": 2.5, ""donchian_in"": 20, ""donchian_out"": 20}",OK,5,2.245952,1.704261,3.040154,2.524041,704677.509163,60,10,5,0.649898,"{""EURUSD"": 0.2002177859388922, ""GBPUSD"": 0.14988468351322856, ""XAUUSD"": 0.6498975305478792}",false,"{""USDJPY"": 1}",0.810892,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=704677.5% > 30%; portfolio.max_per_pair_net_profit_share=65.0% (worst: XAUUSD) > 40%,,0.342356,3.300906,31.826483,0.827337
"V2|atr_stop_mult=2.5,donchian_in=20,donchian_out=5",V2,"{""atr_stop_mult"": 2.5, ""donchian_in"": 20, ""donchian_out"": 5}",OK,5,2.245952,1.704261,3.040154,2.524041,704677.509163,60,10,5,0.649898,"{""EURUSD"": 0.2002177859388922, ""GBPUSD"": 0.14988468351322856, ""XAUUSD"": 0.6498975305478792}",false,"{""USDJPY"": 1}",0.810892,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=704677.5% > 30%; portfolio.max_per_pair_net_profit_share=65.0% (worst: XAUUSD) > 40%,,0.342356,3.300906,31.826483,0.827337
